id,cer,wer,hyp_chars,ref_chars,S,D,I,N
MT-001,0.171,0.381,109,111,7,5,7,111
MT-002,0.099,0.286,95,91,3,5,1,91
MT-003,0.567,0.955,129,120,45,16,7,120
