config,sample,cer,wer,hyp_chars,ref_chars
full_restoration,MT-002,0.2418,0.4286,108,91
full_restoration,MT-003,0.625,1.0,127,120
full_restoration,MT-004,0.1211,0.4667,186,190
full_restoration,MT-005,0.4454,0.9,105,119
full_restoration,MT-006,0.4602,0.9,111,113
full_restoration,MT-007,0.4932,0.6923,75,73
full_restoration,MT-008,0.5674,0.8519,145,141
full_restoration,MT-009,0.4354,0.9231,144,147
full_restoration,MT-010,0.3873,0.7619,142,142
full_restoration,MT-011,0.7786,1.0,88,131
full_restoration,MT-012,0.2258,0.7333,94,93
full_restoration,MT-013,0.3473,0.8148,166,167
full_restoration,MT-014,0.1046,0.4545,149,153
full_restoration,MT-015,0.1404,0.4286,180,178
full_restoration,MT-016,0.2959,0.6333,182,196
full_restoration,MT-017,0.3942,1.0,96,104
full_restoration,MT-018,0.3889,0.8276,167,180
full_restoration,MT-019,0.2709,0.65,199,203
full_restoration,MT-020,0.3216,0.7179,191,199
